Latitude,Longitude
-4.3955,-36.7356
-4.4542,-36.7017
-4.4088,-36.6836
-4.4632,-36.6780
-4.4586,-36.6429
-4.5302,-36.6311
-4.5600,-36.6282
-4.4091,-36.6262
-4.5206,-36.6181
-4.5842,-36.6071
-4.5928,-36.5841
-4.5440,-36.5832
-4.5989,-36.5814
-4.5717,-36.5615
-4.3735,-36.5528
-4.5735,-36.5527
-4.4140,-36.5523
-4.5935,-36.5425
-4.4587,-36.5339
-4.5602,-36.5282
-4.2819,-36.5265
-4.2621,-36.5233
-4.4610,-36.5215
-4.3916,-36.4885
-4.6252,-36.4879
-4.6443,-36.4831
-4.3688,-36.4556
-4.4051,-36.4454
-4.5284,-36.4439
-4.5867,-36.4373
-4.5899,-36.4361
-4.6547,-36.4174
-4.2521,-36.4160
-4.5805,-36.4160
-4.3441,-36.3920
-4.2528,-36.3862
-4.4884,-36.3744
-4.3692,-36.3671
-4.5901,-36.3649
-4.3042,-36.3374
-4.5901,-36.3322
-4.6457,-36.3237
-4.5336,-36.3217
-4.3334,-36.3212
-4.2538,-36.3202
-4.4059,-36.3133
-4.5688,-36.3096
-4.6079,-36.3087
-4.5085,-36.3010
-4.6042,-36.2957
-4.2786,-36.2910
-4.2111,-36.2885
-4.6459,-36.2854
-4.2219,-36.2814
-4.3807,-36.2660
-4.5097,-36.2653
-4.4172,-36.2618
-4.6118,-36.2311
-4.4421,-36.2250
-4.2283,-36.2184
-4.4979,-36.2062
-4.2502,-36.1874
-4.3307,-36.1840
-4.2506,-36.1840
-4.5908,-36.1799
-4.3785,-36.1761
-4.3716,-36.1759
-4.3037,-36.1719
-4.3103,-36.1686
-4.2507,-36.1660
-4.2504,-36.1531
-4.3719,-36.1290
-4.2294,-36.1275
-4.3315,-36.1255
-4.3221,-36.1171
-4.3466,-36.1162
-4.4932,-36.1036
-4.5549,-36.0943
-4.5549,-36.0943
-4.4791,-36.0941
-4.3161,-36.0722
-4.5696,-36.0686
-4.2360,-36.0616
-4.2323,-36.0509
-4.4538,-36.0509
-4.2141,-36.0450
-4.4932,-36.0432
-4.4125,-36.0368
-4.4799,-36.0346
-4.2402,-36.0337
-4.5083,-36.0297
-4.3162,-36.0289
-4.3112,-36.0255
-4.2397,-36.0239
-4.2278,-36.0102
-4.2405,-36.0050
-4.2625,-36.0048
-4.3775,-36.0034
-4.2326,-35.9978
-4.4540,-35.9906
-4.3355,-35.9888
-4.2335,-35.9796
-4.6265,-35.9683
-4.3165,-35.9661
-4.3877,-35.9631
-4.2405,-35.9604
-4.4636,-35.9602
-4.6088,-35.9566
-4.2296,-35.9491
-4.2712,-35.9426
-4.2288,-35.9418
-4.5419,-35.9367
-4.2094,-35.9344
-4.3879,-35.9340
-4.3323,-35.9222
-4.3880,-35.9219
-4.2814,-35.9188
-4.4850,-35.9024
-4.4844,-35.9014
-4.3870,-35.8974
-4.2276,-35.8940
-4.2232,-35.8919
-4.2014,-35.8909
-4.3334,-35.8707
-4.2720,-35.8701
-4.4853,-35.8679
-4.3849,-35.8648
-4.5394,-35.8592
-4.3533,-35.8507
-4.3716,-35.8505
-4.2381,-35.8462
-4.6207,-35.8385
-4.2634,-35.8374
-4.3279,-35.8354
-4.2982,-35.8346
-4.2625,-35.8342
-4.6622,-35.8251
-4.3334,-35.8240
-4.2611,-35.8189
-4.4849,-35.8161
-4.2561,-35.8123
-4.2562,-35.8052
-4.4586,-35.7973
-4.2563,-35.7965
-4.3653,-35.7941
-4.2563,-35.7878
-4.2147,-35.7874
-4.6216,-35.7866
-4.3836,-35.7856
-4.2081,-35.7826
-4.3639,-35.7799
-4.2862,-35.7776
-4.3837,-35.7717
-4.6235,-35.7655
-4.2630,-35.7604
-4.4804,-35.7540
-4.3789,-35.7538
-4.5668,-35.7521
-4.2991,-35.7485
-4.3223,-35.7446
-4.2664,-35.7392
-4.2877,-35.7387
-4.4353,-35.7333
-4.3797,-35.7238
-4.3840,-35.7185
-4.3285,-35.7175
-4.3010,-35.7148
-4.2283,-35.7064
-4.6216,-35.7056
-4.2890,-35.7045
-4.2889,-35.7011
-4.5301,-35.7009
-4.4711,-35.6855
-4.2994,-35.6811
-4.3285,-35.6809
-4.5963,-35.6789
-4.6215,-35.6782
-4.3239,-35.6764
-4.3847,-35.6758
-4.3403,-35.6737
-4.3891,-35.6698
-4.4713,-35.6692
-4.6375,-35.6681
-4.2082,-35.6581
-4.6522,-35.6580
-4.3414,-35.6567
-4.4344,-35.6557
-4.4931,-35.6530
-4.4430,-35.6502
-4.6220,-35.6497
-4.2933,-35.6440
-4.6531,-35.6425
-4.6529,-35.6404
-4.2997,-35.6393
-4.4243,-35.6380
-4.3432,-35.6297
-4.6216,-35.6278
-4.6375,-35.6276
-4.4011,-35.6237
-4.6530,-35.6218
-4.2998,-35.6177
-4.6530,-35.6164
-4.5488,-35.6162
-4.4834,-35.6130
-4.4012,-35.6035
-4.5305,-35.6032
-4.6530,-35.6013
-4.5911,-35.6011
-4.2386,-35.6006
-4.3999,-35.5977
-4.4713,-35.5965
-4.6376,-35.5935
-4.6330,-35.5932
-4.2337,-35.5856
-4.4942,-35.5805
-4.4721,-35.5768
-4.4022,-35.5763
-4.6382,-35.5722
-4.3449,-35.5664
-4.5258,-35.5631
-4.6015,-35.5620
-4.4247,-35.5586
-4.4175,-35.5562
-4.4452,-35.5558
-4.6020,-35.5541
-4.4006,-35.5521
-4.4828,-35.5415
-4.2315,-35.5407
-4.3491,-35.5401
-4.3403,-35.5349
-4.3188,-35.5333
-4.3004,-35.5333
-4.2325,-35.5330
-4.2357,-35.5276
-4.6027,-35.5198
-4.3283,-35.5184
-4.4418,-35.5167
-4.4800,-35.5163
-4.3775,-35.5149
-4.4013,-35.5145
-4.4600,-35.5145
-4.3247,-35.5089
-4.4710,-35.5061
-4.4816,-35.5045
-4.3974,-35.5037
-4.5263,-35.4993
-4.6328,-35.4960
-4.6027,-35.4934
-4.5051,-35.4925
-4.4591,-35.4896
-4.6386,-35.4869
-4.3393,-35.4866
-4.4012,-35.4858
-4.4246,-35.4822
-4.2164,-35.4748
-4.3409,-35.4691
-4.6037,-35.4671
-4.4861,-35.4597
-4.5467,-35.4585
-4.6342,-35.4494
-4.2358,-35.4459
-4.4610,-35.4409
-4.2971,-35.4364
-4.3956,-35.4361
-4.2922,-35.4343
-4.4833,-35.4343
-4.4831,-35.4293
-4.4415,-35.4276
-4.3141,-35.4271
-4.5628,-35.4269
-4.4013,-35.4265
-4.4818,-35.4257
-4.4625,-35.4245
-4.4674,-35.4205
-4.5222,-35.4189
-4.6724,-35.4189
-4.4770,-35.4147
-4.2973,-35.4126
-4.5471,-35.4087
-4.4870,-35.4063
-4.3724,-35.4046
-4.5051,-35.3991
-4.5326,-35.3979
-4.5212,-35.3966
-4.2355,-35.3961
-4.4873,-35.3940
-4.6056,-35.3930
-4.5994,-35.3908
-4.5853,-35.3903
-4.4863,-35.3836
-4.6008,-35.3803
-4.2351,-35.3753
-4.2872,-35.3733
-4.4627,-35.3689
-4.5895,-35.3664
-4.5631,-35.3638
-4.6396,-35.3627
-4.5887,-35.3621
-4.3869,-35.3583
-4.6544,-35.3563
-4.4564,-35.3513
-4.5770,-35.3494
-4.6375,-35.3450
-4.4831,-35.3426
-4.6670,-35.3408
-4.5995,-35.3392
-4.3631,-35.3364
-4.2097,-35.3363
-4.5897,-35.3357
-4.3254,-35.3295
-4.6404,-35.3201
-4.5876,-35.3196
-4.6604,-35.3194
-4.2244,-35.3179
-4.6408,-35.2977
-4.5899,-35.2964
-4.5316,-35.2948
-4.6327,-35.2941
-4.6559,-35.2924
-4.6202,-35.2905
-4.5998,-35.2888
-4.6411,-35.2887
-4.5516,-35.2851
-4.6617,-35.2834
-4.5046,-35.2799
-4.5218,-35.2788
-4.5899,-35.2740
-4.6613,-35.2738
-4.6613,-35.2501
-4.2360,-35.2501
-4.4163,-35.2444
-4.6608,-35.2350
-4.6569,-35.2315
-4.5410,-35.2307
-4.5295,-35.2237
-4.6520,-35.2167
-4.2322,-35.2023
-4.4668,-35.2022
-4.2293,-35.1992
-4.6521,-35.1973
-4.2987,-35.1338
-4.3670,-35.1169
-4.2293,-35.0799
-4.2061,-35.0754
-4.5518,-35.0726
-4.6107,-35.0674
-4.6158,-35.0533
-4.3313,-35.0527
-4.6107,-35.0487
-4.4819,-35.0484
-4.3016,-35.0455
-4.3317,-35.0419
-4.3674,-35.0381
-4.6111,-35.0349
-4.5518,-35.0295
-4.3515,-35.0173
-4.5045,-35.0067
-4.3316,-35.0063
-4.4998,-35.0054
-4.5366,-35.0013
-4.2190,-34.9957
-4.5695,-34.9919
-4.6218,-34.9913
-4.2762,-34.9855
-4.2588,-34.9840
-4.3775,-34.9837
-4.5045,-34.9823
-4.6467,-34.9797
-4.6113,-34.9668
-4.2983,-34.9638
-4.2641,-34.9617
-4.2491,-34.9489
-4.2589,-34.9445
-4.3362,-34.9382
-4.2491,-34.9274
-4.6151,-34.9245
-4.4902,-34.9203
-4.6096,-34.9199
-4.4322,-34.9178
-4.3302,-34.8969
-4.5364,-34.8897
-4.2359,-34.8848
-4.2701,-34.8762
-4.5513,-34.8655
-4.6199,-34.8643
-4.2604,-34.8642
-4.6640,-34.8611
-4.2751,-34.8556
-4.4589,-34.8515
-4.5003,-34.8476
-4.6098,-34.8420
-4.2447,-34.8413
-4.6199,-34.8410
-4.6174,-34.8305
-4.4174,-34.8248
-4.6098,-34.8186
-4.5356,-34.8183
-4.2497,-34.8123
-4.4674,-34.7938
-4.2593,-34.7910
-4.4227,-34.7717
-4.5006,-34.7715
-4.5063,-34.7692
-4.3613,-34.7676
-4.4913,-34.7648
-4.3513,-34.7625
-4.3360,-34.7582
-4.3783,-34.7497
-4.4407,-34.7456
-4.6685,-34.7376
-4.2063,-34.7337
-4.3959,-34.7332
-4.3055,-34.7311
-4.6093,-34.7299
-4.3143,-34.7231
-4.6511,-34.7219
-4.3218,-34.7170
-4.3878,-34.7157
-4.5920,-34.7126
-4.6450,-34.7121
-4.4744,-34.7087
-4.4675,-34.7071
-4.6219,-34.6971
-4.2052,-34.6951
-4.3559,-34.6951
-4.2756,-34.6875
-4.6702,-34.6819
-4.4893,-34.6811
-4.3660,-34.6761
-4.4153,-34.6754
-4.4169,-34.6662
-4.5465,-34.6630
-4.5976,-34.6614
-4.6108,-34.6525
-4.6421,-34.6513
-4.5672,-34.6490
-4.2581,-34.6455
-4.4143,-34.6453
-4.2699,-34.6441
-4.2794,-34.6431
-4.2712,-34.6342